sales,publicity,bargen
87.5,not,not
103.7,not,not
83.3,not,not
131.9,not,not
106.6,not,not
83.6,not,not
109.7,not,not
114.8,not,not
111.5,not,not
93.9,not,not
130.2,not,not
107.8,not,not
87.6,not,not
55.7,not,not
122.5,not,not
99.1,not,not
99.7,not,not
118.9,not,not
116.4,not,not
111.9,not,not
118.4,not,not
115.6,not,not
101.5,not,not
60.2,not,not
112.4,not,not
128.9,not,to_implement
126.9,not,to_implement
100.6,not,to_implement
120.4,not,to_implement
138.4,not,to_implement
157.2,not,to_implement
127.9,not,to_implement
137.8,not,to_implement
128.9,not,to_implement
102.5,not,to_implement
121.7,not,to_implement
122.1,not,to_implement
128.8,not,to_implement
152,not,to_implement
145.3,not,to_implement
126.7,not,to_implement
124.9,not,to_implement
143.9,not,to_implement
141.1,not,to_implement
116.2,not,to_implement
115.9,not,to_implement
137.3,not,to_implement
145.4,not,to_implement
127.8,not,to_implement
147.6,not,to_implement
118,to_implement,not
97.8,to_implement,not
116.8,to_implement,not
87.4,to_implement,not
138.7,to_implement,not
149.6,to_implement,not
102.7,to_implement,not
89.1,to_implement,not
121.4,to_implement,not
107.3,to_implement,not
158,to_implement,not
109.2,to_implement,not
123.8,to_implement,not
110.6,to_implement,not
95.1,to_implement,not
113.8,to_implement,not
73.9,to_implement,not
139.3,to_implement,not
113.1,to_implement,not
153.5,to_implement,not
119.5,to_implement,not
95.8,to_implement,not
122.2,to_implement,not
91.3,to_implement,not
84.9,to_implement,not
165.8,to_implement,to_implement
151.1,to_implement,to_implement
160,to_implement,to_implement
161.5,to_implement,to_implement
148.2,to_implement,to_implement
148.6,to_implement,to_implement
157.3,to_implement,to_implement
183.6,to_implement,to_implement
129.5,to_implement,to_implement
171.9,to_implement,to_implement
166.7,to_implement,to_implement
181.3,to_implement,to_implement
153.9,to_implement,to_implement
167.4,to_implement,to_implement
165.3,to_implement,to_implement
149.1,to_implement,to_implement
184.2,to_implement,to_implement
183.2,to_implement,to_implement
174,to_implement,to_implement
191.7,to_implement,to_implement
171.2,to_implement,to_implement
134.5,to_implement,to_implement
148.5,to_implement,to_implement
135.5,to_implement,to_implement
150.5,to_implement,to_implement
