sales,weather
48.5,cloudy
64.8,cloudy
85.8,cloudy
45,cloudy
60.8,cloudy
64,cloudy
72.6,cloudy
58.4,cloudy
91.8,cloudy
59.9,cloudy
68.3,cloudy
76.7,cloudy
56.1,cloudy
46.4,cloudy
88.7,cloudy
27.3,cloudy
75.2,cloudy
62.5,cloudy
77.2,cloudy
68.5,cloudy
93.4,cloudy
44,cloudy
85.8,cloudy
91.3,cloudy
62.1,cloudy
25.2,cloudy
69.2,cloudy
53.1,cloudy
73.9,cloudy
66.3,cloudy
73.1,cloudy
66.8,cloudy
78.1,cloudy
57.7,cloudy
50.3,cloudy
53.1,cloudy
36.1,cloudy
48.5,cloudy
53.6,cloudy
58.3,cloudy
56.2,cloudy
32.6,cloudy
49.4,cloudy
90.6,cloudy
71.3,cloudy
91.9,cloudy
57.4,cloudy
60.6,cloudy
59.2,cloudy
44,cloudy
72.4,sunny
116,sunny
76.6,sunny
104.1,sunny
69.3,sunny
55.5,sunny
80.2,sunny
99,sunny
102.1,sunny
110.1,sunny
58.2,sunny
115.5,sunny
74.5,sunny
87.4,sunny
92.6,sunny
72.7,sunny
55,sunny
77.8,sunny
86.3,sunny
71.6,sunny
71.2,sunny
90,sunny
82.9,sunny
91.5,sunny
84.2,sunny
71.4,sunny
104.6,sunny
96.6,sunny
100.8,sunny
63.8,sunny
99.9,sunny
59.6,sunny
77,sunny
64.4,sunny
51.9,sunny
112.3,sunny
75.2,sunny
80.7,sunny
79.2,sunny
90.8,sunny
109,sunny
110.2,sunny
67.2,sunny
64.6,sunny
62.3,sunny
66.2,sunny
114.4,sunny
85.1,sunny
72.4,sunny
76,sunny
76.1,rainy
63.9,rainy
55.3,rainy
48.8,rainy
47.1,rainy
90.7,rainy
74.1,rainy
90.1,rainy
53.7,rainy
54.7,rainy
44.6,rainy
56.2,rainy
67.1,rainy
80.4,rainy
68.5,rainy
66.8,rainy
78.5,rainy
77.2,rainy
61.6,rainy
48.3,rainy
78.6,rainy
62.1,rainy
85.7,rainy
53.5,rainy
44.3,rainy
68.1,rainy
50,rainy
69.6,rainy
34.1,rainy
33.9,rainy
70.3,rainy
65,rainy
73.1,rainy
29.8,rainy
78.2,rainy
78,rainy
75.5,rainy
71.8,rainy
91.7,rainy
38.2,rainy
51.3,rainy
66.1,rainy
47.9,rainy
61.3,rainy
71.2,rainy
50.2,rainy
69.9,rainy
68.2,rainy
47.9,rainy
45,rainy
