date,fish_num,temperature
2010-01-01,2,1.8
2010-01-02,1,7
2010-01-03,2,5.7
2010-01-04,2,1.7
2010-01-05,5,9.4
2010-01-06,3,9.4
2010-01-07,5,1.3
2010-01-08,2,8.3
2010-01-09,6,4.7
2010-01-10,13,5.5
2010-01-11,6,5.5
2010-01-12,8,2.4
2010-01-13,15,7.6
2010-01-14,10,1.8
2010-01-15,12,4.1
2010-01-16,14,8.5
2010-01-17,42,9.8
2010-01-18,15,2.3
2010-01-19,25,4.4
2010-01-20,23,0.7
2010-01-21,24,6.6
2010-01-22,18,3.9
2010-01-23,37,8.4
2010-01-24,24,1.5
2010-01-25,24,3.5
2010-01-26,27,4.9
2010-01-27,10,1.5
2010-01-28,21,3.6
2010-01-29,35,9.6
2010-01-30,14,1.3
